complexity,length,reward,rmse,expression,expression_prefix,g,m
4,4,0.5025253169416734,77.38776130159273,(m*exp(1.0)),[mul m exp 1.0],1.0,16.52928180972451
8,8,0.5647951591433898,60.236814538377224,(m/(z*((((((z)**(2)))**(-1)))**(0.5)))),[div m mul z sqrt inv n2 z],1.0,66.1755897206692
9,9,0.6021485488363667,51.650739998246834,(m*exp((z*((((((z)**(2)))**(-1)))**(0.5))))),[mul m exp mul z sqrt inv n2 z],1.0,36.300508843086675
10,10,0.6201592741048562,47.880373563751,(m+(m/(z*((((((z)**(2)))**(-1)))**(0.5))))),[add m div m mul z sqrt inv n2 z],1.0,51.438350047000924
11,11,0.6283961877382827,46.228080904019215,(m-(m*exp((z*((((((z)**(2)))**(-1)))**(0.5)))))),[sub m mul m exp mul z sqrt inv n2 z],1.0,-57.45907867881831
12,12,0.6375187371973566,44.44796214441426,(m+(z/(((((((((((m)**(-1))*z))**(2)))**(-1)))**(0.5)))**(-1)))),[add m div z inv sqrt inv n2 mul inv m z],1.0,55.9553816774585
15,15,0.6380194440680725,44.3517309384186,(m-(m*exp((z*((((((((((((((z)**(-1)))**(2)))**(-1)))**(2)))**(-1)))**(0.5)))**(0.5)))))),[sub m mul m exp mul z sqrt sqrt inv n2 inv n2 inv z],1.0,-58.41630284591256
18,18,0.6510502214958998,41.899388198702475,(((m+m)*(((((z)**(-1))/(((z*(((z*((z)**(2))))**(-1))))**(0.5))))**(-1)))+m),[add mul add m m inv div inv z sqrt mul z inv mul z n2 z m],1.0,33.77718901901413
21,21,0.6544330971758353,41.278711363124714,(m+(exp((z*(((((z)**(2))/z))**(-1))))*(z/(((((((((z*((m)**(-1))))**(2)))**(-1)))**(0.5)))**(-1))))),[add m mul exp mul z inv div n2 z z div z inv sqrt inv n2 mul z inv m],1.0,26.868531541124735
